model,setting,mean_tokens,mean_grounding,answer_accuracy,n
qwen2.5-7b,panjang,33.44444444444444,13.606701940035274,61.111111111111114,18
qwen2.5-7b,pendek,9.555555555555555,3.888888888888889,61.111111111111114,18
qwen2.5-7b,cap-2,6.0,0.0,72.22222222222223,18
qwen2.5-7b,cap-1,3.388888888888889,0.0,66.66666666666667,18
llama-3.1-8b,panjang,65.5,2.332852332852333,22.22222222222222,18
llama-3.1-8b,pendek,36.94444444444444,2.4101307189542482,66.66666666666667,18
llama-3.1-8b,cap-2,10.222222222222221,2.7777777777777777,77.77777777777777,18
llama-3.1-8b,cap-1,4.277777777777778,5.555555555555555,77.77777777777777,18
gemma-2-9b,panjang,17.333333333333332,16.11111111111111,83.33333333333333,18
gemma-2-9b,pendek,10.222222222222221,8.333333333333334,72.22222222222223,18
gemma-2-9b,cap-2,4.833333333333333,13.88888888888889,83.33333333333333,18
gemma-2-9b,cap-1,3.7777777777777777,0.0,77.77777777777777,18
