setting,id,tokens,grounding,accuracy
panjang,uji_kesehatan_mortalitas_balita,21,0.0,1.0
panjang,uji_kesehatan_mortalitas_bayi,12,0.0,1.0
panjang,uji_kesehatan_harapan_hidup,35,40.0,1.0
panjang,uji_kesehatan_mortalitas_ibu,17,0.0,1.0
panjang,uji_kesehatan_imunisasi_campak,14,50.0,1.0
panjang,uji_kesehatan_imunisasi_dpt,11,33.333333333333336,1.0
panjang,uji_kesehatan_insiden_tbc,17,50.0,1.0
panjang,uji_kesehatan_mortalitas_neonatal,12,0.0,1.0
panjang,uji_kesehatan_belanja_kesehatan,14,0.0,1.0
panjang,uji_pangan_indeks_produksi_pangan,17,50.0,1.0
panjang,uji_pangan_indeks_produksi_tanaman,31,0.0,1.0
panjang,uji_pangan_hasil_serealia,13,0.0,1.0
panjang,uji_pangan_pdb_pertanian,17,0.0,1.0
panjang,uji_pangan_lahan_pertanian,15,50.0,0.0
panjang,uji_pangan_inflasi,12,0.0,1.0
panjang,uji_pangan_indeks_harga_konsumen,21,0.0,0.0
panjang,uji_pangan_lahan_subur,24,16.666666666666668,1.0
panjang,uji_pangan_tenaga_kerja_pertanian,9,0.0,0.0
pendek,uji_kesehatan_mortalitas_balita,3,0.0,1.0
pendek,uji_kesehatan_mortalitas_bayi,14,0.0,1.0
pendek,uji_kesehatan_harapan_hidup,24,0.0,0.0
pendek,uji_kesehatan_mortalitas_ibu,11,0.0,1.0
pendek,uji_kesehatan_imunisasi_campak,6,50.0,1.0
pendek,uji_kesehatan_imunisasi_dpt,9,33.333333333333336,1.0
pendek,uji_kesehatan_insiden_tbc,5,0.0,1.0
pendek,uji_kesehatan_mortalitas_neonatal,14,0.0,1.0
pendek,uji_kesehatan_belanja_kesehatan,0,0.0,1.0
pendek,uji_pangan_indeks_produksi_pangan,18,0.0,0.0
pendek,uji_pangan_indeks_produksi_tanaman,9,0.0,1.0
pendek,uji_pangan_hasil_serealia,5,0.0,1.0
pendek,uji_pangan_pdb_pertanian,14,0.0,1.0
pendek,uji_pangan_lahan_pertanian,6,0.0,0.0
pendek,uji_pangan_inflasi,13,66.66666666666667,1.0
pendek,uji_pangan_indeks_harga_konsumen,5,0.0,0.0
pendek,uji_pangan_lahan_subur,14,0.0,0.0
pendek,uji_pangan_tenaga_kerja_pertanian,14,0.0,1.0
cap-2,uji_kesehatan_mortalitas_balita,3,0.0,1.0
cap-2,uji_kesehatan_mortalitas_bayi,8,0.0,1.0
cap-2,uji_kesehatan_harapan_hidup,0,0.0,0.0
cap-2,uji_kesehatan_mortalitas_ibu,3,0.0,1.0
cap-2,uji_kesehatan_imunisasi_campak,0,0.0,1.0
cap-2,uji_kesehatan_imunisasi_dpt,6,50.0,1.0
cap-2,uji_kesehatan_insiden_tbc,6,50.0,1.0
cap-2,uji_kesehatan_mortalitas_neonatal,8,0.0,1.0
cap-2,uji_kesehatan_belanja_kesehatan,0,0.0,1.0
cap-2,uji_pangan_indeks_produksi_pangan,5,0.0,1.0
cap-2,uji_pangan_indeks_produksi_tanaman,6,50.0,1.0
cap-2,uji_pangan_hasil_serealia,5,0.0,1.0
cap-2,uji_pangan_pdb_pertanian,8,0.0,1.0
cap-2,uji_pangan_lahan_pertanian,6,0.0,0.0
cap-2,uji_pangan_inflasi,3,100.0,1.0
cap-2,uji_pangan_indeks_harga_konsumen,4,0.0,1.0
cap-2,uji_pangan_lahan_subur,8,0.0,0.0
cap-2,uji_pangan_tenaga_kerja_pertanian,8,0.0,1.0
cap-1,uji_kesehatan_mortalitas_balita,3,0.0,1.0
cap-1,uji_kesehatan_mortalitas_bayi,4,0.0,1.0
cap-1,uji_kesehatan_harapan_hidup,0,0.0,1.0
cap-1,uji_kesehatan_mortalitas_ibu,3,0.0,1.0
cap-1,uji_kesehatan_imunisasi_campak,0,0.0,1.0
cap-1,uji_kesehatan_imunisasi_dpt,4,0.0,1.0
cap-1,uji_kesehatan_insiden_tbc,3,0.0,1.0
cap-1,uji_kesehatan_mortalitas_neonatal,4,0.0,1.0
cap-1,uji_kesehatan_belanja_kesehatan,12,0.0,1.0
cap-1,uji_pangan_indeks_produksi_pangan,5,0.0,1.0
cap-1,uji_pangan_indeks_produksi_tanaman,4,0.0,0.0
cap-1,uji_pangan_hasil_serealia,4,0.0,1.0
cap-1,uji_pangan_pdb_pertanian,4,0.0,1.0
cap-1,uji_pangan_lahan_pertanian,6,0.0,0.0
cap-1,uji_pangan_inflasi,0,0.0,1.0
cap-1,uji_pangan_indeks_harga_konsumen,4,0.0,0.0
cap-1,uji_pangan_lahan_subur,4,0.0,0.0
cap-1,uji_pangan_tenaga_kerja_pertanian,4,0.0,1.0
