setting,id,tokens,grounding,accuracy
panjang,uji_kesehatan_mortalitas_balita,96,0.0,0.0
panjang,uji_kesehatan_mortalitas_bayi,31,0.0,1.0
panjang,uji_kesehatan_harapan_hidup,78,0.0,0.0
panjang,uji_kesehatan_mortalitas_ibu,116,0.0,0.0
panjang,uji_kesehatan_imunisasi_campak,45,0.0,0.0
panjang,uji_kesehatan_imunisasi_dpt,19,0.0,0.0
panjang,uji_kesehatan_insiden_tbc,101,18.181818181818183,0.0
panjang,uji_kesehatan_mortalitas_neonatal,19,0.0,1.0
panjang,uji_kesehatan_belanja_kesehatan,79,0.0,0.0
panjang,uji_pangan_indeks_produksi_pangan,96,0.0,0.0
panjang,uji_pangan_indeks_produksi_tanaman,92,0.0,0.0
panjang,uji_pangan_hasil_serealia,93,7.142857142857143,0.0
panjang,uji_pangan_pdb_pertanian,27,0.0,1.0
panjang,uji_pangan_lahan_pertanian,54,0.0,0.0
panjang,uji_pangan_inflasi,27,0.0,0.0
panjang,uji_pangan_indeks_harga_konsumen,104,0.0,0.0
panjang,uji_pangan_lahan_subur,75,16.666666666666668,0.0
panjang,uji_pangan_tenaga_kerja_pertanian,27,0.0,1.0
pendek,uji_kesehatan_mortalitas_balita,10,0.0,1.0
pendek,uji_kesehatan_mortalitas_bayi,27,0.0,1.0
pendek,uji_kesehatan_harapan_hidup,34,0.0,0.0
pendek,uji_kesehatan_mortalitas_ibu,58,12.5,1.0
pendek,uji_kesehatan_imunisasi_campak,18,0.0,1.0
pendek,uji_kesehatan_imunisasi_dpt,36,0.0,0.0
pendek,uji_kesehatan_insiden_tbc,12,0.0,0.0
pendek,uji_kesehatan_mortalitas_neonatal,19,0.0,1.0
pendek,uji_kesehatan_belanja_kesehatan,28,25.0,1.0
pendek,uji_pangan_indeks_produksi_pangan,48,0.0,1.0
pendek,uji_pangan_indeks_produksi_tanaman,75,0.0,0.0
pendek,uji_pangan_hasil_serealia,41,0.0,1.0
pendek,uji_pangan_pdb_pertanian,26,0.0,1.0
pendek,uji_pangan_lahan_pertanian,30,0.0,0.0
pendek,uji_pangan_inflasi,64,0.0,1.0
pendek,uji_pangan_indeks_harga_konsumen,54,0.0,1.0
pendek,uji_pangan_lahan_subur,70,5.882352941176471,0.0
pendek,uji_pangan_tenaga_kerja_pertanian,15,0.0,1.0
cap-2,uji_kesehatan_mortalitas_balita,10,0.0,1.0
cap-2,uji_kesehatan_mortalitas_bayi,12,0.0,1.0
cap-2,uji_kesehatan_harapan_hidup,0,0.0,0.0
cap-2,uji_kesehatan_mortalitas_ibu,14,0.0,1.0
cap-2,uji_kesehatan_imunisasi_campak,0,0.0,1.0
cap-2,uji_kesehatan_imunisasi_dpt,14,0.0,0.0
cap-2,uji_kesehatan_insiden_tbc,8,0.0,1.0
cap-2,uji_kesehatan_mortalitas_neonatal,10,0.0,1.0
cap-2,uji_kesehatan_belanja_kesehatan,15,50.0,1.0
cap-2,uji_pangan_indeks_produksi_pangan,8,0.0,1.0
cap-2,uji_pangan_indeks_produksi_tanaman,14,0.0,1.0
cap-2,uji_pangan_hasil_serealia,6,0.0,0.0
cap-2,uji_pangan_pdb_pertanian,12,0.0,1.0
cap-2,uji_pangan_lahan_pertanian,9,0.0,1.0
cap-2,uji_pangan_inflasi,25,0.0,1.0
cap-2,uji_pangan_indeks_harga_konsumen,8,0.0,1.0
cap-2,uji_pangan_lahan_subur,9,0.0,0.0
cap-2,uji_pangan_tenaga_kerja_pertanian,10,0.0,1.0
cap-1,uji_kesehatan_mortalitas_balita,5,0.0,1.0
cap-1,uji_kesehatan_mortalitas_bayi,4,0.0,1.0
cap-1,uji_kesehatan_harapan_hidup,0,0.0,1.0
cap-1,uji_kesehatan_mortalitas_ibu,4,0.0,1.0
cap-1,uji_kesehatan_imunisasi_campak,0,0.0,1.0
cap-1,uji_kesehatan_imunisasi_dpt,5,0.0,0.0
cap-1,uji_kesehatan_insiden_tbc,4,0.0,1.0
cap-1,uji_kesehatan_mortalitas_neonatal,4,0.0,1.0
cap-1,uji_kesehatan_belanja_kesehatan,6,100.0,1.0
cap-1,uji_pangan_indeks_produksi_pangan,3,0.0,1.0
cap-1,uji_pangan_indeks_produksi_tanaman,5,0.0,0.0
cap-1,uji_pangan_hasil_serealia,6,0.0,1.0
cap-1,uji_pangan_pdb_pertanian,6,0.0,1.0
cap-1,uji_pangan_lahan_pertanian,5,0.0,1.0
cap-1,uji_pangan_inflasi,7,0.0,1.0
cap-1,uji_pangan_indeks_harga_konsumen,4,0.0,1.0
cap-1,uji_pangan_lahan_subur,4,0.0,0.0
cap-1,uji_pangan_tenaga_kerja_pertanian,5,0.0,0.0
