setting,id,tokens,grounding,accuracy
panjang,uji_kesehatan_mortalitas_balita,45,0.0,1.0
panjang,uji_kesehatan_mortalitas_bayi,23,0.0,0.0
panjang,uji_kesehatan_harapan_hidup,59,11.11111111111111,0.0
panjang,uji_kesehatan_mortalitas_ibu,36,40.0,1.0
panjang,uji_kesehatan_imunisasi_campak,5,0.0,0.0
panjang,uji_kesehatan_imunisasi_dpt,23,0.0,1.0
panjang,uji_kesehatan_insiden_tbc,43,33.333333333333336,1.0
panjang,uji_kesehatan_mortalitas_neonatal,23,0.0,0.0
panjang,uji_kesehatan_belanja_kesehatan,34,16.666666666666668,1.0
panjang,uji_pangan_indeks_produksi_pangan,43,20.0,1.0
panjang,uji_pangan_indeks_produksi_tanaman,49,33.333333333333336,1.0
panjang,uji_pangan_hasil_serealia,53,16.666666666666668,1.0
panjang,uji_pangan_pdb_pertanian,14,0.0,1.0
panjang,uji_pangan_lahan_pertanian,43,57.142857142857146,0.0
panjang,uji_pangan_inflasi,36,0.0,1.0
panjang,uji_pangan_indeks_harga_konsumen,55,16.666666666666668,1.0
panjang,uji_pangan_lahan_subur,0,0.0,0.0
panjang,uji_pangan_tenaga_kerja_pertanian,18,0.0,0.0
pendek,uji_kesehatan_mortalitas_balita,40,20.0,1.0
pendek,uji_kesehatan_mortalitas_bayi,23,0.0,0.0
pendek,uji_kesehatan_harapan_hidup,0,0.0,1.0
pendek,uji_kesehatan_mortalitas_ibu,4,0.0,1.0
pendek,uji_kesehatan_imunisasi_campak,0,0.0,0.0
pendek,uji_kesehatan_imunisasi_dpt,15,0.0,1.0
pendek,uji_kesehatan_insiden_tbc,19,50.0,1.0
pendek,uji_kesehatan_mortalitas_neonatal,12,0.0,0.0
pendek,uji_kesehatan_belanja_kesehatan,4,0.0,1.0
pendek,uji_pangan_indeks_produksi_pangan,5,0.0,1.0
pendek,uji_pangan_indeks_produksi_tanaman,13,0.0,1.0
pendek,uji_pangan_hasil_serealia,4,0.0,1.0
pendek,uji_pangan_pdb_pertanian,12,0.0,0.0
pendek,uji_pangan_lahan_pertanian,0,0.0,0.0
pendek,uji_pangan_inflasi,4,0.0,1.0
pendek,uji_pangan_indeks_harga_konsumen,9,0.0,1.0
pendek,uji_pangan_lahan_subur,0,0.0,0.0
pendek,uji_pangan_tenaga_kerja_pertanian,8,0.0,0.0
cap-2,uji_kesehatan_mortalitas_balita,8,0.0,1.0
cap-2,uji_kesehatan_mortalitas_bayi,12,0.0,0.0
cap-2,uji_kesehatan_harapan_hidup,5,0.0,1.0
cap-2,uji_kesehatan_mortalitas_ibu,7,0.0,1.0
cap-2,uji_kesehatan_imunisasi_campak,0,0.0,1.0
cap-2,uji_kesehatan_imunisasi_dpt,4,0.0,1.0
cap-2,uji_kesehatan_insiden_tbc,8,0.0,1.0
cap-2,uji_kesehatan_mortalitas_neonatal,8,0.0,0.0
cap-2,uji_kesehatan_belanja_kesehatan,5,0.0,1.0
cap-2,uji_pangan_indeks_produksi_pangan,4,0.0,1.0
cap-2,uji_pangan_indeks_produksi_tanaman,0,0.0,1.0
cap-2,uji_pangan_hasil_serealia,4,0.0,1.0
cap-2,uji_pangan_pdb_pertanian,8,0.0,0.0
cap-2,uji_pangan_lahan_pertanian,0,0.0,0.0
cap-2,uji_pangan_inflasi,8,0.0,1.0
cap-2,uji_pangan_indeks_harga_konsumen,11,0.0,1.0
cap-2,uji_pangan_lahan_subur,8,0.0,0.0
cap-2,uji_pangan_tenaga_kerja_pertanian,8,0.0,1.0
cap-1,uji_kesehatan_mortalitas_balita,8,0.0,1.0
cap-1,uji_kesehatan_mortalitas_bayi,6,0.0,0.0
cap-1,uji_kesehatan_harapan_hidup,0,0.0,1.0
cap-1,uji_kesehatan_mortalitas_ibu,4,0.0,1.0
cap-1,uji_kesehatan_imunisasi_campak,0,0.0,1.0
cap-1,uji_kesehatan_imunisasi_dpt,4,0.0,0.0
cap-1,uji_kesehatan_insiden_tbc,8,0.0,1.0
cap-1,uji_kesehatan_mortalitas_neonatal,4,0.0,0.0
cap-1,uji_kesehatan_belanja_kesehatan,0,0.0,1.0
cap-1,uji_pangan_indeks_produksi_pangan,4,0.0,1.0
cap-1,uji_pangan_indeks_produksi_tanaman,3,0.0,1.0
cap-1,uji_pangan_hasil_serealia,4,0.0,1.0
cap-1,uji_pangan_pdb_pertanian,4,0.0,0.0
cap-1,uji_pangan_lahan_pertanian,0,0.0,0.0
cap-1,uji_pangan_inflasi,8,0.0,1.0
cap-1,uji_pangan_indeks_harga_konsumen,0,0.0,1.0
cap-1,uji_pangan_lahan_subur,0,0.0,0.0
cap-1,uji_pangan_tenaga_kerja_pertanian,4,0.0,1.0
